artist,song_name,pallavi,anupallavi,f_caranam,l_caranam,no_caranam,no_ap
Tyagaraja,song011.txt,"pallavi
samayamu EmarakE manasA <EOP>
","anupallavi
sumatulau narulanu jEri nija sukham-anubhavincuTaku nIkitE <EOP>
",,"caraNam
antarangamuna galugu bhayamuna Antarika bhakti mArgamu 
delisi dAnta samrakSakuDaina shrI tyAgarAja sannutuni jUDa <EOS>
",1,1
Tyagaraja,song012.txt,"pallavi
mApAla velasi ika mamu brOvaga rAdA shrI rAmacandra <EOP>
","anupallavi
nI pAdamula bhakti niNDraga ninci kApADu shakti nI karamuna nuNDaga <EOP>
","caraNam
pApa samhAra nA paritApamulanu dunuma nEpATirA karuNa payOnidhivaina shrIpati vidhrta 
cApa bANa I pApamati narulApadalanu nE nEpeni jUtunu ApadbAndhava kApADa nIkI parAkEla <EOP>
dIna rakSaka bhaktAdhIna sAkEta nagarIsha nAmadi padarina sujana mAnAbhImAna pAlana samAna 
rahita rOsana nIdu dAsanu dAsuDanu dAnavAntaka mudAna nArada suguNa shIla darigAna santatamu <EOP>
","caraNam
nAgAdhipa vinuta nAgAri ratha ninu vinA gati neruga nAgarAja hrt-sAgarAbja bhava sAgarAntaka 
surAgha hara kanakagA dhIra sura nAga gamana sharaNAgatApta shrI tyAgarAjanuta <EOS>
",3,1
Tyagaraja,song013.txt,"pallavi
shambhO mahAdEva shankara girijA ramaNa <EOP>
","anupallavi
shambhO mahAdEva sharaNAgata jana rakSaka ambOruha lOcana padAmbuja bhaktim dEhi <EOP>
",,"caraNam
parama dayAkara mrgadhara hara gangAdhara dharaNIdhara bhUSaNa tyAgarAja vara hrdaya 
nivEsha sura vrnda kiRITa maNi vara nI rAjita pada gOpuravAsa sundarEsha girIsha parAtpara bhavahara <EOS>
",1,1
Tyagaraja,song014.txt,"pallavi
nI dAsAnudAsuDa nani pErE Emi phalamu <EOP>
","anupallavi
pEda sAdhulandu nIku prEmalEka pOyE <EOP>
","caraNam
sarivArilO nannu cauka jEsitivi gAni karuNimpa lEka nIdu karmamanedavu gAni <EOP>
","caraNam
rOsamu lEshamu lEdayE rucira vAkkalu pOyE dAsula brOcitivaTa tyAgarAju ilalO <EOS>
",2,1
Tyagaraja,song015.txt,"pallavi
abhimAnamennaDu galgurA anAthuDaina nAdupai nIku <EOP>
","anupallavi
aparAdhamulanni mannimpumayya abhirAma paTTAbhirAma nA endu <EOP>
",,"caraNam
kanna talliyu kanna taNDriyu anniyu nivEyani namma lEdA
ninnuvinA gati nA kevaru lErE nannu brOvu tyAgarAja vinuta <EOS>
",1,1
Tyagaraja,song016.txt,"pallavi
kAru vElpulu nIku sarikAru <EOP>
","anupallavi
kAruku jilakara sambA kantara mainaTTu gAni <EOP>
","caraNam
divatiki dIpamu rIti kAvETiki kAluvala rIti gAni <EOP>
tamma vairiki tArakala rIti kamma viltuniki kAnti narula rIti gAni <EOP>
","caraNam
sAgaramunaku sarasu rIti tyAgarAjavinuta dharalO nIku sari <EOS>
",3,1
Tyagaraja,song017.txt,"pallavi
inka yOcana ayitE nE nEmi sEyudurA <EOP>
","anupallavi
pankajAkSa nIvaNTi parama dayAnidhi nI <EOP>
","caraNam
tIrarAni pOrAye sAreku mEnu sagamAye
nEramEmO teliyadAye yAradi kika tALadAye <EOP>
shrIpati ennikala lEni tApatrayamula nalasiti gAni-
pApa ganamu lanniyu purusuni rUpamai bAdhincEgani <EOP>
","caraNam
vAgAdhipa vandya ninnE gAni orula nammani 
tyAgarAjunipaini bAgAye shrI rAmaA nI <EOS>
",3,1
Tyagaraja,song018.txt,"pallavi
nI cittamu nishcalamu nirmalamani ninnE namminAnu <EOP>
","anupallavi
nA cittamu vancana cancalamani nanu viDa nADakumi shrI rAma <EOP>
",,"caraNam
guruvu cillaginca guruvE bhramaramu guruDE bhAskaruDu guruDE bhadruDu 
guruDE uttamagati guruvu nI vAnukoNTi dharanu dAsuni brOva tyAgarAjanuta <EOS>
",1,1
Tyagaraja,song019.txt,"pallavi
bhaja rAmam satatam mAnasa <EOP>
",,"caraNam
amita shubhAkaram pApa timira vibhAkaram <EOP>
shatamagha nuta gItam sakala shrita pArijAtam <EOP>
pAlita lOka gAnam parama kapAli vinuta suguNam <EOP>
sarOjavara nAbham yama purArAti lAbham <EOP>
varAnanda kandam nata surAdi muni brndam <EOP>
kamanIya sharIram dhIram mama jIvAdhAram <EOP>
kara dhrta sharachApam rAmam bharita guna kalApam <EOP>
bhava jalanidhi pOtham sArasa bhavamukha nijatAtam <EOP>
vAtAtmaja sulabham vara sItA vallabham <EOP>
","caraNam
rAja ravi nEtram tyAgarAja vara mitram <EOS>
",10,0
Tyagaraja,song020.txt,"pallavi
nitya rUpa evari pANDitya mEmi naDucurA <EOP>
","anupallavi
satyamaina yajna mIra sAmarthyamu galadA <EOP>
",,"caraNam
bhAnu pagalu rEyu ratna sAnu juTTadA pUni shESuDamita bhAra bhUmi mOyaDA 
vinulandu kAshIpati nI nAmamu balkadA mAni tyAgarAja vinuta mahimAspadamagu nImundu <EOS>
",1,1
Tyagaraja,song021.txt,"pallavi
raghuvar nannu marava tagunA <EOP>
","anupallavi
nagadhara bhaktajana ghanivAraNa <EOP>
","caraNam
talli taNDrulanna tammulu unna polatiki okaDu puruSuNDauna <EOP>
para deivamulu bAgu sommulu suranuta mangaLa sUtramulaina <EOP>
cEsina puNya cayamu brahmaNya Asa nosangiti anupama lAvaNya <EOP>
","caraNam
manasuna nIki marulu konnAnu sajjana hita tyAgarAjanuta shubhakara <EOS>
",4,1
Tyagaraja,song022.txt,"pallavi
nIkevari bOdhana <EOP>
","anupallavi
sAkEta rAma summuni stOma <EOP>
",,"caraNam
kalakalamani nAtO baluka kunnAvu talapu vErainadi tyAgarAjavinuta <EOS>
",1,1
Tyagaraja,song023.txt,"pallavi
inta tAmasamaitE entani sairintu Emi cEyudu rAma <EOP>
","anupallavi
kantu janaka nannuvinta jEsitE ninnUranta navvarA sItAkAnta nanu karuNimpa <EOP>
","caraNam
rAjIvalOcana rAjitO rAvEmirA jIvanamu nIvErA jImUtAbhatanO
rAjIvAsana janaka rAjillu raghuvamsha rAjarAja nIvErA jIvAdhAra <EOP>
sundaramUrti nAyandu daya rAdu nEnendu bOdura nIyandu cittamugAni
endunnAvO rAkendu shEkharanuta nI kenda anumAna mindu vadana <EOP>
","caraNam
gauravamEdi shrngAravAridhE brOvagarAdA pAvanu gArAdA muni hrdayA-
gAra pratyakSamu gArAdA ika muddugAra tyAgarAjuni gAravimpa <EOS>
",3,1
Tyagaraja,song024.txt,"pallavi
sItApati nA manasuna siddhAntamani unnAnurA <EOP>
","anupallavi
vAtAtmajAdula centanE varNincina ni palukulella <EOP>
",,"caraNam
prEma jUci nApai pedda manasu jEsi nI mahimalella niNDAra jUpi
I mahini bhayamETi kanna rAmacandra tyAgarAja vinuta <EOS>
",1,1
Tyagaraja,song025.txt,"pallavi
kamalApta kula kalashAbdhi candra kAvavayya nanu karuNA samudra <EOP>
","anupallavi
kamalAkaLatra kausalyA suputra kamanIya gAtra kAmAri mitra <EOP>
",,"caraNam
munu dAsula brOcinadella cAla vini nI caranA-shrituDaitinayya kani-
karambuna nAkabhaya miyyavayya vanaja lOcana shrI tyAgarAja vinuta <EOS>
",1,1
Tyagaraja,song026.txt,"pallavi
prANanAtha birAna brOvavE <EOP>
","anupallavi
vENugAnamucE badiyAru vELa gOpikala pAlinci Elu <EOP>
",,"caraNam
venna mIgaDala vEDka mIraganu kanna pinnavANDla kaDupu ninci 
tinnaga velayu divyarUpamA cinni krSNa dayacEsi tyAgarAja <EOS>
",1,1
Tyagaraja,song027.txt,"pallavi
mundu vEnuka iru prakkala tODai murakhara-hara rArA <EOP>
","anupallavi
endugAna nI andamuvale raghunandanavEgamE rArA <EOP>
","caraNam
caNDa bhAskara kulAbdhi candra kOdaNDapANiyai rArA
aNDa golucu saumitri sahituDai yAmiya parAkrama rArA <EOP>
","caraNam
O gaja rakSaka O rAjakumAra OmkAra sadana rArA
bhAgavata priya bAga brOvavayya tyAgarAjanuta rArA <EOS>
",2,1
Tyagaraja,song028.txt,"pallavi
pEriDi ninu bencina vErevarE <EOP>
","anupallavi
vArini jUpavE shrI rAmayya <EOP>
","caraNam
sAra sAradhara tAraka nAmamunu <EOP>
sarva matamulaku sammatamaina <EOP>
ghOra pAdakamula goppuna anucu <EOP>
","caraNam
tyAgarAju sadA bAguga bhajiyincu <EOS>
",4,1
Tyagaraja,song029.txt,"pallavi
abhimAnamu lEdEmi nIvabhinaya vacanamu lADEdEmi <EOP>
",,"caraNam
mAli mincukaina lEda tannu mAlina dharmamu galadA vana
mAli nApai daya rAdA pAlu mAlina guNa mikanaina bOdA <EOP>
kalimiyunTE beTTukOrA krpa kalugu nanuchu vEDinArA nA
kaluvaramulu vina rArA pOkalu nIku galadani nE nerugalErA <EOP>
","caraNam
rAju nIvani namminAnu gajarAjunna viDamu vinnAnu rati-
rAja dAsula vEDalEnu tyAgarAju nIvADani pEru konnAnu <EOS>
",3,0
Tyagaraja,song030.txt,"pallavi
O ramAramaNa rAma rAma nE nOrvajAla raghurAma <EOP>
",,"caraNam
sArasAkSa manasAra nammitini cErarA nI upacAra mAyega <EOP>
angalArpu gani pongagAni shrIranga nI madi karaganga lEdurA <EOP>
ninnu nammi nE khinnuDaiti Apannu narulakE munna diddharini <EOP>
cuTTi cuTTi nA guTTu nangadani beTTa jEsi ceyibeTTa kuNTivi <EOP>
dhIruDanucu ninu gOrukunna nIvArali vyasana vAridhi nIdIra <EOP>
mETiyau paluku bOTi patiki EnATi krOdhamO tOTivAralalO <EOP>
mAna rakSaka purANa sajjana nidAnuDanucu ninu dAna mADigitini <EOP>
kAna nIku sari gAnalOla ika gAna rAru peddAna beTTudunu <EOP>
","caraNam
yOga siddhulaku E gati anucu vEga tOcadA tyAgarAjanuta <EOS>
",9,0
Tyagaraja,song031.txt,"pallavi
tuLasI daLamulacE santOSamugA pUjintu <EOP>
","anupallavi
palumAru cirakAlamu paramAtmunipAdamulanu <EOP>
",,"caraNam
sarasIruha punnAga campaka pATala kuruvaka karavIra mallikA sugandha rAja sumamula 
dhara nivi oka paryAyamu dharmAtmuni sAkEtapura vAsuni shrI rAmuni vara tyAgarAja nutuni <EOS>
",1,1
Tyagaraja,song032.txt,"pallavi
endukI calamu nEnevaritO delpudu <EOP>
","anupallavi
kandarpa janaka nIkEkAnta jeppEnO hari hari <EOP>
","caraNam
kausalya ceppEnO nIkE sammati lEdO ahalya ceppEnO
nannAdarinca lEvO <EOP>
kabar  bhArini sItA kAnta jeppEnO lEka shabari jeppEno n du
shAntamendu pOyE <EOP>
","caraNam
bAlayau svayamprabha jeppEnO tALa nA taramA shrI
tyAgarAjun pai nIk- <EOS>
",3,1
Tyagaraja,song033.txt,"pallavi
mrdu bhASaNa nata vibhISaNa <EOP>
","anupallavi
sudrAsa mAnpaga lEni nanu sukha cittuga nevaru sEturA <EOP>
",,"caraNam
vara dAnavambudha samIraNa varada anagha amara pAlaka
dharahAsa sadguNa bhUSa parAtpara tyAgarAjArcita <EOS>
",1,1
Tyagaraja,song034.txt,"pallavi
marakata maNi varNa rAma nannu maravaka nAyanna <EOP>
","anupallavi
parama puruSa binna brOvumu dEvara sharaNanu konna <EOP>
",,"caraNam
vara bhakta suparNa vAhana karuNArasa pUrNa dharani 
tanayakunna prEma rasamu tyAgarAju kIyanna <EOS>
",1,1
Tyagaraja,song035.txt,"pallavi
shrI nArada gururAya gaNTi mEnATi tapamO gururAya <EOP>
","anupallavi
manasAra kOriti gururAya nEDu kanulAra ganugoNTini gururAya <EOP>
","caraNam
mI sEva dorikenu gururAya bhava pAshamu dolagenu gururAya <EOP>
nIvE su-jnAna sukhi gururAya nIvE ajnAna shikhi gururAya <EOP>
","caraNam
rAjillu vIne gala gururAya tygarAjuni brOcina sadgururAya <EOS>
",3,1
Tyagaraja,song036.txt,"pallavi
eTulaina bhakti vaccuTakE atnamu sEyavE <EOP>
","anupallavi
maTumAya bhavamunu manadani yEncaka vaTapatra shayanuni pAda yugamunandu <EOP>
","caraNam
vidyA garvamu lEla nIvavidyA vashamu gAnEla khadyOtAnAnvaya tilakuni
puramElE buddhi yAshuga dOca dEla O manasA <EOP>
rAma nAmamu sEya siggA kArAdEmi balkavu puNTi buggA bhAmalu
garadATaka uNDina jaggA pAmara mEnu nammaka nIti buggA <EOP>
","caraNam
bhOga bhAgyamulandu nija bhAgavatulukA nIpondu rOsi
tyAgarAja varaduni nI andu bAguga dhyAnincu bhava rOgamandu <EOS>
",3,1
Tyagaraja,song037.txt,"pallavi
lakSaNamulu gala shrI rAmuniki pradakSiNa monarintumu rArE <EOP>
","anupallavi
kukSiNi brahmANDamu lunnavaTa vi-cakSuNuDaTa dIkSa guruDaTa shubha <EOP>
",,"caraNam
lakSmaNa lakSyamu gala shrutulaku pratyakSambaunaTa akSarasthulaina
bhajana parulakE antaranguDaunaTa shiSabaDi sabhanu meppincu bhakta 
rakSakuDaunaTa sAkSiyai vElayu tyAgarAja pakSakuDaunaTa muppadi reNDu <EOS>
",1,1
Tyagaraja,song038.txt,"pallavi
sadA bhajimpavE sadAshivuni samukhana nilaci samshayamu lEka <EOP>
","anupallavi
natAshu pAshu nAshakuni mahimakadA shravaNamulagai konivini <EOP>
",,"caraNam
Eka bilva <EOS>
",1,1
Tyagaraja,song039.txt,"pallavi
nI daya galguTE bhAgyamani nijamuga nEla dOcadO <EOP>
","anupallavi
nAdarUpa nIrada sannibha dIna nAthAnvaya bhUSaNa mrdubhASaNa <EOP>
","caraNam
avivEkulaina dAra tanayula nanudinamunu galasi bhava sAgaramu nIDalEka bhayamuna jeyyalasi avanIshula 
gAci sukhamu lEka nAyAsamu sOlasi vividhamulagu nI mAyAlOpala dagilina tana kI avadhulanu dekisi <EOP>
vEga lEci tA natilObhi janula vEmbaDigA dirigi rOgiyai tA kOrina kOrkalu rOyaka mEnu karagi bhOga 
bhAgyamula kOrakanya surula bhUsurula gOri tirigi E gatiyu lEka I sukhambu liTlani tana madini tAnErigi <EOP>
","caraNam
nAganAyaka shayanEndu dIna nAtha nayana sItAnka yOgi vandita padAravinda yuga sharaNa kaLanka rAga 
lObha madAdula goTTi rakSincE birudAnka tyAgarAja pUjita raghunAyaka tArakamani teliyu nishshanka <EOS>
",3,1
Tyagaraja,song040.txt,"pallavi
rAmam bhajEham sadA rakSasa kula bhImam <EOP>
","anupallavi
shyAmam sakala sujana hrdaya jaladhi sOmam janaka sutAbhi <EOP>
","caraNam
sundara mukham aravinda nayana magha brnda parvata purandara manakha 
sanandana nutamAnanda jaladhi mahi brnda su-bhUSaNa vandita caritam <EOP>
dhIram su-parivAram bhuvana dhAram suguNAkaram samA-
lankAram durjana dUram shrI raghivIram mE hrdi vAram vAram <EOP>
","caraNam
rAjam nata sura rAjam stuta gajarAjam shruti vinutAjam suta 
ratirAjam turaga virAjam sujana samAjam tyAgarAjam rAjam <EOS>
",3,1
Tyagaraja,song041.txt,"pallavi
shrI gaNanAtham bhajAmyaham shrIkaram cintitArtha phaladam <EOP>
","anupallavi
shrI guruguhAgrajam agra pUjyam shrI khNDAtmajam shrta sAmrAjyam <EOP>
",,"caraNam
ranjita nATaka ranga tOSaNam sinjita vara maNimaya bhUSaNam
AnjanEyAvatAram su-bhASaNam kunjara mukham tyAgarAja pOSaNam <EOS>
",1,1
Tyagaraja,song042.txt,"pallavi
mElu mElu rAma nAma sukha mI dharalO manasA phala lOcana vAlmIkAdi bAlAnila jAdalu sAkSiga <EOP>
",,"caraNam
niNDu dAhamukonna manujulaku nIru drAgina sukhambukaNTE 
canda dAridhya manujulaku dhana bhANDam abbina sukhambukaNTE <EOP>
tapamu sairincani janula kamrta vApi abbina sukhambukaNTE 
dari dApulEka bhayamandu vELala dhairyamu galgu sukhambukaNTE <EOP>
Akali vELala panca bhakSya paramAnnam abbina sukhambukaNTE 
shrIkaruDau shrI rAmuni manasuna cincintu sukhambukaNTE <EOP>
sArahInamau krOdha samayamuna shAntamu galgu sukhambukaNTE 
nErani mUDulaku sakala vidyA pAramu teliyu sukhambukaNTE <EOP>
rAmunipai nija bhakti galigi gAnarasamu telisina sukahmbukaNTE 
pAmara celimi sEyanivAri bhAvanu lOni sukhambukaNTE <EOP>
cEyatamu vEdAnta vicAraNa cEyaga galgu sukhambukaNTE 
bAyaka nirguNa bhAvamugala para brahmAnubhava sukhambukaNTE <EOP>
","caraNam
rAjasa tAmasa guManulu lEni pUjalu galgu sukhambukaNTE 
rAja shikhAmaNiyaina tyAgarAja kOsangu sukhambuakNTE <EOS>
",7,0
Tyagaraja,song043.txt,"pallavi
nA jIvAdhAra nA nOmu phalamA <EOP>
","anupallavi
rAjIva lOcana rAjarAja shirOmaNi <EOP>
",,"caraNam
nA cUpa prakAshamA nA nAsika parimaLamA 
nA japavarNa rUpamA nADu pUjAsumamA tyAgarAjanuta <EOS>
",1,1
Tyagaraja,song044.txt,"pallavi
tanayuni brOva janani vaccunO talli vadda bAluDu bOnO <EOP>
","anupallavi
ina kulOttama I rahasyamunu erigimpumu mOmunu ganupimpumu <EOP>
",,"caraNam
vatsamu veNTa dhEnuvu canunO vAridamunu gani pairulu cununO
matsya kaNTiki viTuDu vEDalunO mahini tyAgarAja vinuta rammu delpumu <EOS>
",1,1
Tyagaraja,song045.txt,"pallavi
celimini jalajAkSu gaNTE jepparayyA mIru <EOP>
","anupallavi
palumAru mrokkedanu dayatO balukarayyA entO <EOP>
","caraNam
shara cApamu karamuna niDi merayunayy  entO karuNA rasamu niNDina kannulayyA <EOP>
cUDa jUDa manasu karagE sumukhuDayy  bhaktula jADa delisi mATalADE jAnuDayyA <EOP>
shrngAruni bAsi mEnu cikkenayyA hari cengaTa munnE nAmadi jikkEnayyA hari <EOP>
nAlOni jAlini balka jAlanayy  hari mIlO mIrE telisi marma m yara entO <EOP>
","caraNam
tyAgarAja sakhuDani dalatu nayyA mIru bAguga nAyangalArpu bAparayyA <EOS>
",5,1
Tyagaraja,song046.txt,"pallavi
yOcanA kamala lOcana nannu brOva <EOP>
","anupallavi
sUcana teliyaka norula yAcana jEtu nanucu nIku 
dOcana dyuti vijitAyuta virOcana nannu brOva inka <EOP>
",,"caraNam
kEcana nija bhakta nicaya pApa vimOcana gala birudu lella goni 
nannEcana krta vipina cara varAbhi-SEcanA tyAgarAja pUjita <EOS>
",1,1
Tyagaraja,song047.txt,"pallavi
kaNTakulanu nammanEranurA mukkaNTi sannuta shrI rAma
puNTi vaNTi dAsavenTa tIrcETaTuvaNTi daivamu nIviTa nuNDaganE <EOP>
",,"caraNam
AshalacEta dhanEshula gAcina gAsi cAlunu vrddhshalu jUpE <EOP>
rAja dasharatha rAja suputra rAjamA tyAgarAja sumitra <EOP>
Agatajana pOSaNAgama sancAra tyAgarAja hrdayAkara ninu vinA <EOP>
natajana pOSaNa mita paribhASaNa shrta tyAgarAja sannuta sarvalOka <EOP>
","caraNam
parama pAvana nAma karuNA sindhO vara tyAgarAja hrcara dInabandhO <EOS>
",5,0
Tyagaraja,song048.txt,"pallavi
padavi nI sadbhaktiyu galguTE <EOP>
","anupallavi
cadavi vEda shAatrOpanishattula satta teliya lEnidi padavA <EOP>
","caraNam
dhana dAra suta gAra sampadalu dharanIshula celimi oka padavA <EOP>
japa tapAdi aNimAdi siddhlacE jagamula nEcuTa adi padavA <EOP>
rAga lObhayuta yajnAdulacE bhOgamu labbuta adi padavA <EOP>
","caraNam
tyAgarAja nutuDu shrI rAmuni tatvamu deliyani doka padavA <EOS>
",4,1
